OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE_FIXED,REPORT_DATE,OCC_DATE_FIXED,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
1,GO-20141260973,2014-01-01,1.38855E+12,2014-01-01,1.38855E+12,2014,January,1,1,Wednesday ,4,2014,January,1,1,Wednesday ,4,NSA,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2130,210,Theft Over,Theft Over,NSA,NSA,NSA,NSA,-85.48874388,0
2,GO-20141264862,2014-01-01,1.38855E+12,2014-01-01,1.38855E+12,2014,January,1,1,Wednesday ,23,2014,January,1,1,Wednesday ,23,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,156,Bendale-Glen Andrew,127,Bendale (127),-79.25916985,43.77843803
3,GO-20141267602,2014-01-02,1.38864E+12,2013-12-24,1.38786E+12,2014,January,2,2,Thursday  ,23,2013,December,24,358,Tuesday   ,2,D32,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,151,Yonge-Doris,51,Willowdale East (51),-79.41438081,43.77515085
4,GO-20141269604,2014-01-02,1.38864E+12,2014-01-02,1.38864E+12,2014,January,2,2,Thursday  ,19,2014,January,2,2,Thursday  ,18,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,70,South Riverdale,70,South Riverdale (70),-79.34216652,43.66615307
5,GO-20141270156,2014-01-02,1.38864E+12,2014-01-02,1.38864E+12,2014,January,2,2,Thursday  ,20,2014,January,2,2,Thursday  ,20,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,47,Don Valley Village,47,Don Valley Village (47),-79.34371914,43.7758285
6,GO-20141275836,2014-01-03,1.38873E+12,2013-12-31,1.38847E+12,2014,January,3,3,Friday    ,18,2013,December,31,365,Tuesday   ,11,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81),-79.41996359,43.65411607
7,GO-20141274610,2014-01-03,1.38873E+12,2014-01-03,1.38873E+12,2014,January,3,3,Friday    ,15,2014,January,3,3,Friday    ,14,D52,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.38242111,43.65175477
8,GO-20141276966,2014-01-03,1.38873E+12,2014-01-03,1.38873E+12,2014,January,3,3,Friday    ,13,2014,January,3,3,Friday    ,12,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,55,Thorncliffe Park,55,Thorncliffe Park (55),-79.34579482,43.7036843
9,GO-20141277440,2014-01-04,1.38881E+12,2014-01-01,1.38855E+12,2014,January,4,4,Saturday  ,0,2014,January,1,1,Wednesday ,2,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81),-79.41996359,43.65411607
10,GO-20141279197,2014-01-04,1.38881E+12,2014-01-03,1.38873E+12,2014,January,4,4,Saturday  ,9,2014,January,3,3,Friday    ,21,D42,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,129,Agincourt North,129,Agincourt North (129),-79.27263498,43.80668715
11,GO-20141284673,2014-01-05,1.3889E+12,2014-01-05,1.3889E+12,2014,January,5,5,Sunday    ,6,2014,January,5,5,Sunday    ,6,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,150,Fenside-Parkwoods,45,Parkwoods-Donalda (45),-79.33316556,43.76043271
12,GO-20141293398,2014-01-06,1.38898E+12,2013-12-17,1.38726E+12,2014,January,6,6,Monday    ,19,2013,December,17,351,Tuesday   ,12,D22,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.50247608,43.62597689
13,GO-20141301110,2014-01-07,1.38907E+12,2014-01-07,1.38907E+12,2014,January,7,7,Tuesday   ,22,2014,January,7,7,Tuesday   ,22,D33,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,150,Fenside-Parkwoods,45,Parkwoods-Donalda (45),-79.33316556,43.76043271
